iter	RMSE
0	5182.133747
1	5134.964924
2	5092.079997
3	5048.877541
4	5004.879211
5	4959.41794
6	4914.500349
7	4867.418353
8	4826.11324
9	4779.885607
10	4737.266408
11	4692.243767
12	4653.245437
13	4605.259808
14	4564.424012
15	4523.760808
16	4485.501454
17	4446.354173
18	4410.810749
19	4367.149923
20	4332.340754
21	4295.526884
22	4250.673559
23	4210.579634
24	4172.763237
25	4141.195319
26	4110.442524
27	4078.013303
28	4047.70572
29	4004.951513
30	3970.529159
31	3936.53591
32	3903.894469
33	3856.134954
34	3823.065111
35	3778.01085
36	3745.148363
37	3715.455097
38	3685.442928
39	3642.039239
40	3608.784194
41	3580.832428
42	3554.930487
43	3523.23831
44	3491.295911
45	3455.038418
46	3425.244708
47	3400.328531
48	3371.822496
49	3338.341315
50	3313.666808
51	3286.703876
52	3253.077401
53	3225.860565
54	3197.179019
55	3167.194786
56	3133.199648
57	3108.144064
58	3085.54081
59	3048.200138
60	3026.155684
61	3001.830149
62	2975.55166
63	2954.344678
64	2933.411514
65	2912.711482
66	2892.427719
67	2850.944689
68	2802.701691
69	2776.987234
70	2745.026374
71	2709.823152
72	2685.115767
73	2660.651552
74	2635.059163
75	2609.841957
76	2588.852874
77	2568.325906
78	2545.95449
79	2524.63372
80	2504.755569
81	2487.063193
82	2459.366392
83	2431.412956
84	2414.400175
85	2383.634007
86	2366.773836
87	2347.567682
88	2331.05875
89	2312.170729
90	2293.636027
91	2259.686669
92	2243.252885
93	2225.890955
94	2208.918188
95	2189.043
96	2174.100496
97	2159.192311
98	2140.055512
99	2123.28311
100	2104.974361
101	2088.675611
102	2070.554654
103	2054.890474
104	2039.373016
105	2025.631594
106	2010.245475
107	1976.41624
108	1961.368582
109	1944.781362
110	1929.838931
111	1916.97626
112	1890.240169
113	1875.934725
114	1858.710613
115	1842.585853
116	1826.117214
117	1813.464447
118	1787.09471
119	1775.288741
120	1762.022698
121	1744.897427
122	1731.415489
123	1706.455858
124	1693.804512
125	1681.119015
126	1668.535857
127	1657.698637
128	1645.33188
129	1633.373413
130	1621.15528
131	1609.638504
132	1583.966086
133	1561.282075
134	1549.964653
135	1537.84378
136	1525.949073
137	1503.32163
138	1492.93101
139	1471.49518
140	1460.532704
141	1436.857779
142	1426.588276
143	1416.443172
144	1404.550485
145	1394.653631
146	1372.813396
147	1362.928062
148	1353.114307
149	1344.455104
150	1335.240131
151	1314.619362
152	1305.091641
153	1295.357267
154	1286.208362
155	1268.359471
156	1257.3229
157	1248.367722
158	1239.620315
159	1230.44519
160	1210.583794
161	1201.80149
162	1193.332853
163	1174.792145
164	1164.545471
165	1156.242271
166	1148.148182
167	1140.722693
168	1131.902947
169	1115.993264
170	1108.697076
171	1100.809495
172	1092.267155
173	1073.976702
174	1066.4246
175	1059.180401
176	1052.16103
177	1045.300496
178	1030.624847
179	1023.569467
180	1015.9149
181	1008.999268
182	999.7280645
183	991.9734902
184	976.6168814
185	969.9078544
186	962.6012533
187	955.311207
188	948.9156212
189	933.8966443
190	926.9373358
191	913.3548667
192	906.2155992
193	900.4010635
194	893.9667462
195	888.0844855
196	875.5267181
197	869.3107792
198	856.5180097
199	850.7983691
200	838.6852524
201	833.097286
202	827.124254
203	821.7490794
204	816.6450957
205	805.0675244
206	799.9291941
207	794.2711745
208	782.7508578
209	777.2285731
210	771.6818538
211	760.4502191
212	755.5376605
213	750.5411614
214	745.2220352
215	740.5825128
216	729.7781076
217	724.9797916
