iter	Passed	Remaining
0	3	3900
1	7	3551
2	11	3801
3	14	3661
4	17	3536
5	21	3574
6	25	3649
7	29	3607
8	32	3543
9	35	3494
10	38	3446
11	41	3382
12	44	3374
13	47	3365
14	51	3353
15	54	3342
16	58	3390
17	61	3378
18	65	3359
19	68	3337
20	71	3342
21	75	3350
22	78	3334
23	82	3341
24	85	3319
25	89	3356
26	93	3382
27	97	3397
28	103	3474
29	111	3598
30	114	3594
31	119	3610
32	126	3710
33	130	3704
34	133	3683
35	139	3731
36	142	3715
37	145	3692
38	146	3615
39	150	3601
40	155	3641
41	159	3643
42	164	3652
43	172	3753
44	176	3753
45	181	3760
46	186	3786
47	190	3783
48	196	3812
49	202	3855
50	207	3861
51	211	3857
52	220	3941
53	227	3978
54	228	3921
55	237	4006
56	241	3999
57	246	4008
58	253	4043
59	258	4043
60	263	4063
61	269	4083
62	274	4076
63	279	4082
64	285	4109
65	289	4091
66	292	4071
67	300	4119
68	304	4102
69	307	4080
70	315	4130
71	319	4118
72	322	4094
73	329	4117
74	335	4140
75	339	4130
76	349	4187
77	354	4185
78	361	4214
79	366	4212
80	369	4191
81	374	4195
82	380	4207
83	384	4187
84	387	4169
85	396	4211
86	399	4194
87	402	4174
88	413	4229
89	416	4216
90	425	4247
91	430	4251
92	435	4246
93	446	4301
94	451	4298
95	459	4326
96	464	4327
97	474	4362
98	479	4362
99	488	4392
100	494	4399
101	497	4384
102	508	4428
103	512	4417
104	524	4470
105	529	4464
106	538	4498
107	544	4498
108	555	4541
109	558	4516
110	562	4506
111	572	4539
112	576	4527
113	584	4545
114	590	4542
115	593	4524
116	602	4546
117	606	4532
118	610	4517
119	620	4552
120	624	4538
121	634	4565
122	640	4564
123	647	4575
124	653	4577
125	657	4560
126	666	4579
127	669	4563
128	673	4544
129	681	4562
130	685	4548
131	690	4540
132	698	4554
133	701	4535
134	705	4519
135	713	4530
136	716	4513
137	719	4497
138	729	4519
139	734	4510
140	740	4509
141	748	4520
142	752	4509
143	764	4542
144	770	4544
145	778	4551
146	783	4547
147	789	4547
148	795	4543
149	804	4561
150	812	4570
151	822	4587
152	827	4580
153	836	4593
154	842	4590
155	845	4574
156	856	4599
157	860	4587
158	868	4595
159	876	4599
160	884	4611
161	892	4617
162	898	4615
163	904	4610
164	908	4596
165	915	4600
166	921	4594
167	924	4580
168	931	4579
169	937	4576
170	941	4564
171	949	4571
172	955	4565
173	960	4560
174	967	4560
175	971	4547
176	979	4553
177	984	4545
178	988	4533
179	997	4543
180	1004	4545
181	1016	4566
182	1022	4563
183	1032	4579
184	1037	4570
185	1048	4587
186	1054	4583
187	1065	4603
188	1078	4628
189	1079	4603
190	1088	4609
191	1098	4623
192	1109	4640
193	1115	4636
194	1125	4646
195	1131	4640
196	1142	4657
197	1148	4650
198	1155	4651
199	1162	4648
200	1165	4632
201	1177	4649
202	1180	4635
203	1187	4634
204	1194	4631
205	1197	4616
206	1208	4628
207	1211	4612
208	1219	4615
209	1227	4617
210	1233	4612
211	1241	4613
212	1245	4601
213	1254	4609
214	1260	4601
215	1271	4614
216	1275	4602
217	1278	4587
218	1287	4592
219	1291	4579
220	1299	4581
221	1305	4573
222	1308	4559
223	1315	4557
224	1320	4550
225	1324	4535
226	1328	4523
227	1334	4519
228	1338	4505
229	1341	4490
230	1350	4495
231	1353	4481
232	1356	4466
233	1366	4473
234	1370	4460
235	1373	4447
236	1384	4455
237	1389	4447
238	1398	4452
239	1404	4449
240	1413	4453
241	1418	4444
242	1423	4434
243	1432	4439
244	1436	4426
245	1443	4424
246	1449	4420
247	1454	4410
248	1463	4414
249	1466	4400
250	1472	4392
251	1480	4393
252	1484	4381
253	1490	4378
254	1498	4377
255	1507	4382
256	1514	4378
257	1519	4369
258	1526	4368
259	1530	4355
260	1533	4341
261	1540	4339
262	1543	4326
263	1546	4312
264	1550	4300
265	1555	4291
266	1558	4277
267	1561	4264
268	1564	4250
269	1568	4241
270	1571	4228
271	1574	4214
272	1577	4201
273	1581	4190
274	1585	4180
275	1589	4170
276	1592	4157
277	1596	4146
278	1599	4134
279	1602	4121
280	1605	4108
281	1608	4095
282	1612	4085
283	1616	4075
284	1620	4064
285	1623	4053
286	1626	4040
287	1630	4031
288	1633	4019
289	1636	4007
290	1639	3995
291	1644	3988
292	1647	3976
293	1650	3963
294	1653	3952
295	1656	3940
296	1661	3932
297	1664	3921
298	1667	3909
299	1670	3898
300	1675	3890
301	1679	3881
302	1683	3872
303	1686	3861
304	1689	3850
305	1693	3841
306	1696	3830
307	1699	3818
308	1703	3808
309	1707	3799
310	1710	3789
311	1713	3778
312	1716	3767
313	1719	3756
314	1723	3748
315	1726	3737
316	1730	3727
317	1733	3717
318	1736	3707
319	1741	3700
320	1744	3690
321	1748	3682
322	1751	3671
323	1756	3664
324	1760	3655
325	1763	3646
326	1767	3637
327	1773	3634
328	1777	3626
329	1781	3617
330	1784	3607
331	1792	3606
332	1796	3597
333	1800	3589
334	1808	3589
335	1811	3579
336	1814	3570
337	1821	3567
338	1825	3559
339	1828	3549
340	1833	3543
341	1839	3539
342	1843	3530
343	1846	3520
344	1854	3520
345	1857	3511
346	1860	3502
347	1866	3496
348	1870	3489
349	1873	3479
350	1876	3469
351	1882	3466
352	1886	3458
353	1890	3449
354	1893	3440
355	1898	3433
356	1901	3424
357	1904	3415
358	1907	3405
359	1911	3398
360	1914	3389
361	1918	3380
362	1921	3371
363	1924	3362
364	1929	3356
365	1932	3347
366	1936	3339
367	1939	3330
368	1944	3324
369	1947	3316
370	1950	3307
371	1953	3298
372	1956	3289
373	1961	3282
374	1964	3273
375	1967	3265
376	1970	3256
377	1973	3247
378	1977	3240
379	1981	3232
380	1984	3224
381	1987	3215
382	1991	3208
383	1995	3201
384	1999	3194
385	2004	3188
386	2008	3181
387	2012	3173
388	2015	3165
389	2018	3156
390	2023	3151
391	2026	3143
392	2029	3135
393	2033	3126
394	2036	3118
395	2039	3111
396	2042	3103
397	2045	3094
398	2049	3086
399	2052	3079
400	2056	3071
401	2059	3063
402	2062	3055
403	2065	3046
404	2070	3041
405	2073	3033
406	2076	3025
407	2079	3017
408	2082	3009
409	2087	3003
410	2091	2996
411	2094	2988
412	2098	2982
413	2105	2979
414	2108	2972
415	2111	2964
416	2115	2957
417	2122	2955
418	2126	2948
419	2129	2941
420	2138	2940
421	2141	2933
422	2145	2926
423	2153	2925
424	2156	2918
425	2159	2910
426	2164	2904
427	2169	2900
428	2173	2892
429	2176	2884
430	2182	2880
431	2186	2875
432	2190	2868
433	2194	2862
434	2200	2858
435	2203	2850
436	2207	2844
437	2213	2839
438	2216	2832
439	2219	2824
440	2222	2817
441	2227	2811
442	2230	2804
443	2233	2797
444	2236	2789
445	2239	2782
446	2244	2776
447	2247	2768
448	2250	2761
449	2253	2753
450	2256	2746
451	2260	2740
452	2263	2732
453	2266	2726
454	2269	2718
455	2273	2712
456	2277	2705
457	2280	2698
458	2283	2691
459	2286	2684
460	2291	2678
461	2294	2671
462	2297	2664
463	2300	2657
464	2303	2650
465	2307	2644
466	2310	2637
467	2313	2630
468	2316	2622
469	2320	2616
470	2324	2610
471	2327	2603
472	2330	2596
473	2334	2590
474	2338	2585
475	2342	2578
476	2345	2571
477	2348	2564
478	2352	2559
479	2355	2552
480	2358	2545
481	2361	2538
482	2364	2531
483	2369	2526
484	2373	2520
485	2376	2513
486	2381	2508
487	2389	2506
488	2393	2501
489	2398	2496
490	2405	2494
491	2409	2487
492	2412	2481
493	2421	2480
494	2425	2474
495	2428	2468
496	2437	2467
497	2441	2460
498	2444	2454
499	2450	2450
500	2454	2444
501	2458	2439
502	2466	2437
503	2471	2432
504	2474	2425
505	2480	2421
506	2485	2416
507	2489	2410
